genus,species,,,
Albula,Albula neoguinaica,,,
Aluterus,Aluterus schoepfii,,,
Cheilinus,Cheilinus undulatus,,,
Cheilopogon,Cheilopogon pitcairnensis,,,
Epinephelus,Epinephelus merra,,,
Kyphosus,Kyphosus vaigiensis,,,
Monotaxis,Monotaxis grandoculis,,,
Mulloidichthys,Mulloidichthys vanicolensis,,,
Mulloidichthys,Mulloidichthys flavolinaetus,,,
Myripristis,Myripristis viclacea,,,
Myripristis,Myripristis murdjan,,,
Parapeneus,Parapeneus insularis,,,
Parapeneus,Parapeneus multifasciatus,,,
Parapeneus,Parapeneus cyclostomus,,,
Sargocentron,Sargocentron praslin,,,
Sargocentron,Sargocentron caudimaculatum,,,
Selar,Selar crumenophthalmus,,,
Sphyraena,Sphyraena forsteri,,,
Tylosurus,Tylosurus crocodilus,,,